Key	Value
门派声望：{0:F0}\n声望来自于门派各个方面的行为。\n声望会影响来袭敌人的强度。\n声望会影响门派规模:\n山寨: 0\n门派: 500\n洞天: 2000	Danh vọng môn phái: {0:F0}\nDanh vọng đến từ các hành vi khác nhau của môn phái.\nDanh vọng sẽ ảnh hưởng đến cường độ kẻ địch tấn công.\nDanh vọng sẽ ảnh hưởng đến quy mô môn phái:\nSơn trại: 0\nMôn phái: 500\nĐộng thiên: 2000
自定义	Tùy chỉnh
阵法负荷	Tải trọng trận pháp
历练值	Giá trị rèn luyện
环境脏乱	Môi trường bẩn thỉu
水属性伤害减免: {0:P3}	Giảm sát thương thuộc tính nước: {0:P3}
有所收获	Có chút thu hoạch
在战斗中击败修行敌人的数量	Số lượng kẻ thù tu hành bị đánh bại trong chiến đấu
此次思考将消耗所选思绪片段，产生{0}：{1}{2}，并清除所有未记忆的片段。是否确定？	Lần suy nghĩ này sẽ tiêu hao đoạn suy tưởng được chọn, tạo ra {0}: {1}{2}, và xóa toàn bộ các đoạn chưa được ghi nhớ. Có chắc chắn không?
分类:{0}\n	Phân loại: {0}\n
创建XML文件成功!	Tạo tệp XML thành công!
爱好	Sở thích
垃圾	Rác
正在乐呵呵的挖矿中	Đang vui vẻ đào mỏ
历练	Lịch luyện.
{0} 缺少产出方式无法保存	{0} thiếu cách thức sản xuất, không thể lưu
下一级参悟值：{0:F0}/{1:F0}\n提高道行: {3}\n{2}	Giá trị tham ngộ cấp tiếp theo: {0:F0}/{1:F0}\nTăng đạo hạnh: {3}\n{2}
普通	Bình thường
{0}[color=#ff0000](错误)[/color]	{0}[color=#ff0000](Lỗi)[/color].
随着时间推移，化妖天灾的影响越来越深了……	Theo thời gian, ảnh hưởng của thiên tai hóa yêu ngày càng sâu sắc hơn...
该物品不能食用	Vật phẩm này không thể ăn được
[{0}]证据不足\n	[{0}] Chứng cứ không đủ\n
_结局	_Kết cục
无法选择该物品	Không thể chọn vật phẩm này
<font color=#D06508>[通灵]</font>\n	<font color=#D06508>[Thông linh]</font>\n
特效数据	Dữ liệu hiệu ứng
单手武器	Vũ khí một tay
膳夫	Đầu bếp
自制物品	Tự chế tạo vật phẩm
护法赐予	Hộ pháp ban tặng
未知之物	Vật phẩm không rõ
赠送	Tặng
经验加成	Tăng kinh nghiệm
删除	Xóa
灵魂拷问	Tra vấn linh hồn.
 秘籍:{0} 	 Bí kíp: {0} 
修改数值	Chỉnh sửa giá trị
御物	Ngự vật
采掘	Khai thác
火劫	Hỏa kiếp.
这将会打断当前工作，确认立即进行突破吗？	Điều này sẽ làm gián đoạn công việc hiện tại, xác nhận tiến hành đột phá ngay lập tức?
招揽弟子	Chiêu mộ đệ tử
新的异闻解锁	Mở khóa dị văn mới
重生	Tái sinh
增加神性	Tăng thần tính
正在苏醒...	Đang tỉnh dậy...
妖族崛起	Yêu tộc quật khởi
选择预览图	Chọn hình xem trước
手工制作	Thủ công
门派人数已达上限，不可送回代理人！	Số lượng môn phái đã đạt giới hạn, không thể gửi đại diện trở về!
进攻	Tấn công
天下行商	Hành thương thiên hạ
影响值	Giá trị ảnh hưởng
上个存档正在写入，目前还不能再次存档。	Lưu trữ trước đang được ghi, hiện tại không thể lưu trữ lại.
道淬次数：{0}次\n	Số lần đạo luyện: {0} lần\n
{0}对门派好感{1}{2:F0}点	{0} thiện cảm với môn phái {1}{2:F0} điểm
法宝转弯速度:	Tốc độ quay của pháp bảo:
[color=#FFFFFF]该建筑升级需要达到{0}信仰人口[/color]	[color=#FFFFFF]Nâng cấp công trình này cần đạt {0} dân số tín ngưỡng[/color]
角色思考的能力，影响角色的学习速度等属性。	Khả năng suy nghĩ của nhân vật, ảnh hưởng đến tốc độ học tập và các thuộc tính khác.
请选择一个理智思绪	Vui lòng chọn một suy nghĩ lý trí
变身成妖形态	Biến thành hình thái yêu
驻扎中	Đóng quân
读取配置	Đọc cấu hình
此物品非常贵重。	Vật phẩm này rất quý giá.
等待	Chờ đợi
五行是游戏世界的重要元素，五行生克影响游戏的方方面面。如[color=#ff0000]境界突破[/color]，[color=#ff0000]建筑风水[/color]，[color=#ff0000]法宝炼制[/color]等等。	Ngũ hành là yếu tố quan trọng trong thế giới trò chơi, ngũ hành sinh khắc ảnh hưởng đến mọi khía cạnh của trò chơi như [color=#ff0000]đột phá cảnh giới[/color], [color=#ff0000]phong thủy công trình[/color], [color=#ff0000]luyện chế pháp bảo[/color], v.v.
年龄不足	Không đủ tuổi
驱逐	Trục xuất
摔倒	Ngã
训练	Huấn luyện
封闭	Đóng
中	Trung
众生之相	Tướng mạo chúng sinh
木劫	Kiếp gỗ.
信仰天劫	Thiên kiếp tín ngưỡng
正在离开{0}	Đang rời khỏi {0}
掌门名称	Tên chưởng môn
登陆失败，是否重新登陆	Đăng nhập thất bại, bạn có muốn đăng nhập lại không?
未探索	Chưa thám hiểm
{0}{1}的转世	{0}{1} chuyển thế
====触发太易天道触发检测	====Kích hoạt kiểm tra Thiên Đạo Thái Dễ
移动速度：{0:F2}\n	Tốc độ di chuyển: {0:F2}\n
单击选择目标，长按框选范围!	Nhấp để chọn mục tiêu, nhấn giữ để chọn phạm vi!
古修	Tu luyện cổ xưa.
铭记	Khắc ghi
{0}\n[color=#FF0000]需要在[b]{1}[/b]使用[/color]	{0}\n[color=#FF0000]Cần sử dụng tại[b]{1}[/b][/color]
请输入阵法名字	Vui lòng nhập tên trận pháp.
正处于{0}！\n剩余时间：{1}天	Đang ở trạng thái {0}!\nThời gian còn lại: {1} ngày
{0:F0}秒	{0:F0} giây
特别利于	Đặc biệt thuận lợi
请选择合适的摆放地点	Vui lòng chọn vị trí đặt phù hợp.
影响角色驾驭法宝的能力。	Ảnh hưởng đến khả năng điều khiển pháp bảo của nhân vật.
暂时还无法领取该周奖励	Tạm thời chưa thể nhận phần thưởng tuần này
关闭主界面显示后，在主界面无法看到太一宝典进度，请确认是否关闭？\n(在游戏设置中可以再次打开显示)	Sau khi tắt hiển thị giao diện chính, không thể xem tiến độ Thái Nhất Bảo Điển trên giao diện chính. Bạn có chắc chắn muốn tắt không?\n(Có thể bật lại hiển thị trong phần Cài đặt trò chơi)
积累2000点参悟点。（选择角色，通过屏幕下方的人物面板，切换至练功模式，角色会专心练功，加速参悟点的积累。）	Tích lũy 2000 điểm ngộ đạo. (Chọn nhân vật, thông qua bảng nhân vật ở phía dưới màn hình, chuyển sang chế độ luyện công, nhân vật sẽ tập trung luyện công, tăng tốc tích lũy điểm ngộ đạo.)
厌恶之物	Vật phẩm không ưa thích
接受铸体	Chấp nhận đúc thể
认知	Nhận thức
最后的准备	Chuẩn bị cuối cùng
yyyy年MM月dd日HH:mm:ss	yyyy年MM月dd日HH:mm:ss
未知情况：{0}	Tình huống chưa rõ: {0}
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404]Công việc liên quan:[/color]\nDập lửa
取消放置建造蓝图中指定的物品。	Hủy đặt vật phẩm trong bản vẽ xây dựng được chỉ định.
建造材料加工点，并在材料加工点完成50份木料的制作	Xây dựng điểm chế biến nguyên liệu và hoàn thành 50 phần gỗ tại điểm chế biến nguyên liệu
练功筑基许久，正累的气喘吁吁	Luyện công dựng nền lâu ngày, đang thở hổn hển vì mệt
结束今天的筑基功课，刚准备擦擦汗	Kết thúc bài học dựng nền hôm nay, vừa chuẩn bị lau mồ hôi
读取存档	Tải tệp lưu
存档过大	Lưu quá lớn
理智列表	Danh sách lý trí
应天争夺失败	Tranh đoạt ứng thiên thất bại
将角色移动到指定位置。	Di chuyển nhân vật đến vị trí chỉ định.
尸体({0:N0}秒)	Thi thể ({0:N0} giây)
自身生长速度很慢，对周边环境产生极大的正面增益。	Tốc độ sinh trưởng của bản thân rất chậm, nhưng mang lại lợi ích lớn cho môi trường xung quanh.
(被烧毁)	(Bị thiêu hủy)
进入建筑	Vào công trình
选择生长程度	Chọn mức độ phát triển
元神期	Kỳ nguyên thần.
数十天前	Hàng chục ngày trước
CloudSave->解压完成	CloudSave->Giải nén hoàn tất
[align=center](姿态)[	[align=center](Tư thế)[
[color=#bf642f]已归属：{0}[/color]	[color=#bf642f]Đã thuộc về: {0}[/color]
坐标点	Điểm tọa độ
用力拉杆	Kéo cần mạnh
在拆迁建筑时，正忍不住神游天外	Khi tháo dỡ công trình, không thể không lạc vào mộng tưởng
留下这个角色	Giữ lại nhân vật này
\n灵气：{0:N0}({1:N0})	\nLinh khí: {0:N0}({1:N0})
布	Vải
游戏数据校验错误,请联系客服进行处理	Lỗi kiểm tra dữ liệu trò chơi, vui lòng liên hệ chăm sóc khách hàng để xử lý
在照顾别人之时，正感觉有点无聊	Khi chăm sóc người khác, đang cảm thấy hơi chán
她	Cô ấy
建造数量:{0}/{1}	Số lượng xây dựng: {0}/{1}
脸部伤痕	Vết sẹo trên mặt
接受治疗	Nhận điều trị
载入场景数据	Đang tải dữ liệu cảnh
任 意	Bất kỳ
收益加成	Lợi ích tăng thêm
灵气：{0}\n	Linh khí: {0}\n
在照顾别人时，正快乐的哼着小调	Khi chăm sóc người khác, đang vui vẻ ngân nga một giai điệu nhỏ
探索中	Đang thám hiểm
拾取	Nhặt lên.
\n使用模组:	\nSử dụng mô-đun:
在建筑工作之时，正在胡思乱想	Khi làm việc tại công trình, đang nghĩ vẩn vơ
籍籍无名	Vô danh
被焦虑之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时焦躁惶恐而急进难安，因此御器技能突破极限4级，术法技能，护体技能降低3级。	Bị bao trùm bởi ý niệm lo âu, tốc độ tu hành, học tập, tâm trạng giảm mạnh. Nhân vật trong trạng thái này khi chiến đấu sẽ lo lắng và bất an, do đó kỹ năng ngự khí vượt giới hạn 4 cấp, kỹ năng thuật pháp, kỹ năng hộ thể giảm 3 cấp.
剩余时间：	Thời gian còn lại:
[color=#006600](最新)[/color] 	[color=#006600](mới nhất)[/color] 
选择研习弟子	Chọn học tập đệ tử
影响建筑速度，建筑受伤时的概率等。	Ảnh hưởng đến tốc độ xây dựng, xác suất khi công trình bị tổn thương, v.v.
阳寿已尽	Dương thọ đã hết
炼化增补 	Luyện hóa bổ sung 
{0:N0}秒	{0:N0} giây
玩耍	Chơi đùa
他	Anh ấy
气感	Khí cảm
当前品阶：{1} 幽淬成功率：{0} {2}	Phẩm cấp hiện tại: {1} Tỷ lệ thành công u tẩy: {0} {2}
登陆失败，请退出游戏并确认否正确登录了Google Play Games相关服务!	Đăng nhập thất bại, vui lòng thoát trò chơi và xác nhận bạn đã đăng nhập đúng dịch vụ Google Play Games!
植物	Thực vật
建立物品的使用者目前已被社群封锁	Người sử dụng vật phẩm hiện tại đã bị cộng đồng khóa.
请选择一个可以赋灵的物品	Vui lòng chọn một vật phẩm có thể truyền linh khí
<font color=#D06508>[食用]</font>\n	<font color=#D06508>[Ăn]</font>\n
当前阵图节点数过少，无法保存	Số nút trong trận đồ hiện tại quá ít, không thể lưu
神修在心境为“静”时，心境会匀速自然提高，不收任何外部条件影响。	Thần tu khi tâm cảnh ở trạng thái “tĩnh”, tâm cảnh sẽ tăng tự nhiên đều đặn, không bị ảnh hưởng bởi bất kỳ điều kiện bên ngoài nào.
肥加	Mập thêm
移动	Di chuyển
离开	Rời đi
赎金在这里	Tiền chuộc ở đây
这个动物由修行者夺舍而来，觉醒灵智以后会迎来最严格的化形天劫，是否确定觉醒灵智	Con vật này bị người tu hành đoạt xác, sau khi thức tỉnh linh trí sẽ đối mặt với thiên kiếp hóa hình nghiêm ngặt nhất. Xác nhận thức tỉnh linh trí?
正派	Chính phái
选择阵法人选	Chọn ứng cử viên trận pháp
雅艺	Nhã nghệ.
境界进阶	Tiến giai cảnh giới.
[玄门秘籍]	[Bí kíp huyền môn]
请检查网络是否正常连接Steam社区	Vui lòng kiểm tra kết nối mạng với cộng đồng Steam có bình thường không
随机高级矿石	Khoáng thạch cao cấp ngẫu nhiên
该物品不能用于绘制符咒	Vật này không thể dùng để vẽ bùa
刚拆完成一个建筑，正觉得有点可惜	Vừa tháo xong một công trình, cảm thấy hơi tiếc
筑基时走岔了气，正准备休息一下	Đi sai khí khi dựng nền, đang chuẩn bị nghỉ ngơi một chút
[放纵]放纵自己之欲望，使自己神性获得速度降低。同时获得临时的人性加值(最多为真实神性的一半)。\n放纵状态下心境不会增加且加速减少。	[Buông thả] Buông thả dục vọng của bản thân, làm giảm tốc độ nhận thần tính. Đồng thời nhận được giá trị nhân tính tạm thời (tối đa bằng một nửa thần tính thực).\nTrong trạng thái buông thả, tâm cảnh sẽ không tăng mà giảm nhanh hơn.
{0} {1:F0}岁 {2}	{0} {1:F0} tuổi {2}
等物品	Và các vật phẩm khác
真炁	Chân khí
通灵时间：{0:f2}天\n	Thời gian thông linh: {0:f2} ngày\n
[作者]\r\n	[Tác giả]\r\n
弟子	Đệ tử
[color=#FF0000]该建筑升级需要达到{0}信仰人口[/color]	[color=#FF0000]Cần đạt {0} dân số tín ngưỡng để nâng cấp công trình này[/color]
角色	Nhân vật
狩猎这个动物并进行屠宰	Săn con vật này và tiến hành giết mổ
全部	Tất cả
午时,日中之时,正午之时,响午时分	Giờ Ngọ, lúc trưa, chính ngọ, thời điểm giữa ngày
敲钟	Gõ chuông
加载查看移除信息有问题！报错：{0}	Có vấn đề khi tải thông tin xem hoặc xóa! Báo lỗi: {0}
她的	của cô ấy
增加	Tăng thêm
精怪化形	Tinh quái hóa hình
有些问题似乎怎么都没办法想明白。	Một số vấn đề dường như không thể suy nghĩ rõ ràng.
心境中正	Tâm cảnh trung chính
提高道行: {0}\n	Tăng đạo hạnh: {0}\n
生成星辰日月	Tạo ra tinh tú nhật nguyệt
文件存在	Tệp tồn tại
师父:	Sư phụ:
狱	Ngục
耐药性：{0:P2}\n	Kháng thuốc: {0:P2}\n
驱动建筑	Kích hoạt công trình
{0}习得战斗姿态：[{1}]\n{2}	{0} học được tư thế chiến đấu: [{1}]\n{2}
上古阵法图鉴需要玩家结成完整的上古阵法来点亮。	Đồ hình trận pháp cổ đại cần người chơi kết hợp hoàn chỉnh trận pháp cổ đại để thắp sáng.
仅内门	Chỉ nội môn
在砍柴间余，正小憩片刻	Nghỉ ngơi một lát khi chặt củi
请取消该MOD在WEGAME上的审核状态，审核中的MOD无法进行修改编辑	Vui lòng hủy trạng thái kiểm duyệt MOD trên WEGAME, MOD đang kiểm duyệt không thể chỉnh sửa.
取出数量：{0}	Lấy ra số lượng: {0}
此阵法之名已流传千古，切不可随意更名！	Tên trận pháp này đã lưu truyền ngàn đời, tuyệt đối không được tự ý đổi tên!
{3}消耗信仰：{0}/{5:F0}{4}\n神民：+{1}   神性：+{2:F2}%   {6}信仰程度：+{7:P2}	{3}Tiêu tốn tín ngưỡng: {0}/{5:F0}{4}\nThần dân: +{1}   Thần tính: +{2:F2}%   {6}Mức độ tín ngưỡng: +{7:P2}
风水加成	Gia tăng phong thủy
隐匿气息，降低被发现的概率。\n离开隐匿需要五秒。	Ẩn khí tức, giảm xác suất bị phát hiện.\nRời khỏi trạng thái ẩn cần năm giây.
ui状态异常，请关闭ui再次打开	Trạng thái UI bất thường, vui lòng đóng UI và mở lại.
