Key	Value
[NAME]以秘印解读后，竟然从中了解到一段古代秘辛，而随着秘闻的解读，这本秘册也化为飞灰了！	[NAME] dùng bí ấn giải đọc, bất ngờ hiểu được một đoạn bí mật cổ đại, và khi bí mật được giải mã, quyển mật sách cũng hóa thành tro bụi!
据《上古异闻·仙魔之战·卷一》记载，上古时期，三皇飞升后，只有东皇在人间留下道统，号称东皇宫。其势力横压当代，举世无敌，是不折不扣的正道魁首。在其带领下，两次仙魔大战人间界都获得胜利，其声威冠盖上古，无人不知，无人不晓。	Theo 《Thượng Cổ Dị Văn · Tiên Ma Chiến · Quyển Một》 ghi chép, thời thượng cổ, sau khi Tam Hoàng phi thăng, chỉ có Đông Hoàng để lại đạo thống nhân gian, được gọi là Đông Hoàng Cung. Thế lực của họ áp đảo đương thời, vô địch thiên hạ, là thủ lĩnh chính đạo không thể bàn cãi. Dưới sự dẫn dắt của họ, nhân gian đã hai lần chiến thắng trong Tiên Ma Chiến, danh tiếng vang dội thượng cổ, không ai không biết, không ai không nghe.
据《上古异闻·仙魔之战·卷五》记载，第二次仙魔大战开战在即，东皇宫统领人间修行者建立统一战线抵抗魔界，然而紫霄宗却依仗自己正道根脚，不服管束。关键时刻当霹雳行事，东皇掌教亲自出手杀灭紫霄宗抗命的七大长老，收束军心，最终统一战线得以建立，于第二次仙魔大战中获得惨胜。此役因紫霄宗事变产生剧烈内耗，导致修行界损失惨重，东皇宫迫紫霄宗立下誓言，为第三次仙魔大战先锋，将功赎罪。	Theo 《Thượng Cổ Dị Văn · Tiên Ma Chiến · Quyển Năm》 ghi chép, trước khi lần thứ hai Tiên Ma Chiến bùng nổ, Đông Hoàng Cung đã thống lĩnh người tu hành nhân gian xây dựng một liên minh thống nhất để chống lại Ma Giới, nhưng Tử Tiêu Tông lại dựa vào gốc rễ chính đạo của mình mà không phục tùng. Thời khắc then chốt, Đông Hoàng Chưởng Giáo đích thân ra tay tiêu diệt bảy đại trưởng lão của Tử Tiêu Tông, ổn định quân tâm, cuối cùng thành lập được liên minh thống nhất, giành được thắng lợi đau thương trong lần thứ hai Tiên Ma Chiến. Sự kiện này do biến cố Tử Tiêu Tông gây ra nội hao nghiêm trọng, khiến giới tu hành tổn thất nặng nề. Đông Hoàng Cung ép buộc Tử Tiêu Tông lập lời thề làm tiên phong trong lần thứ ba Tiên Ma Chiến để chuộc tội.
据《上古异闻·仙魔之战·卷七》记载，第二次仙魔大战，十大邪教勾结魔头，险些导致人间覆灭。东皇宫掌教以身祭天道，重现东皇法身，以雷霆手段重创十大邪教，令其几乎全部覆灭，这才终于在第二次仙魔大战中获得惨胜。	Theo 《Thượng Cổ Dị Văn · Tiên Ma Chiến · Quyển Bảy》 ghi chép, trong lần thứ hai Tiên Ma Chiến, mười đại tà giáo cấu kết với ma đầu, suýt chút nữa khiến nhân gian diệt vong. Đông Hoàng Chưởng Giáo hiến thân tế Thiên Đạo, tái hiện Pháp Thân Đông Hoàng, dùng thủ đoạn sấm sét đánh trọng thương mười đại tà giáo, khiến họ hầu như bị tiêu diệt hoàn toàn, cuối cùng giành được thắng lợi đau thương trong lần thứ hai Tiên Ma Chiến.
据《上古异闻·仙魔之战·卷十五》所说，上古时期，人间界在东皇宫的带领下，取得两次仙魔大战的胜利。然而两次大战，修行界皆为惨胜。巨大的损失令东皇宫之中有一派人对第三次仙魔大战生出悲观态度，是以倾尽天下修行界之力打造出至宝“乾坤界”，以希望灾难来临时能遁入其开辟的小千世界中躲过灾难，为人间留下火种。	Theo 《Thượng Cổ Dị Văn · Tiên Ma Chiến · Quyển Mười Lăm》 ghi chép, thời thượng cổ, dưới sự dẫn dắt của Đông Hoàng Cung, nhân gian đã giành được thắng lợi trong hai lần Tiên Ma Chiến. Tuy nhiên, cả hai lần chiến thắng đều là thắng lợi đau thương. Tổn thất khổng lồ khiến trong Đông Hoàng Cung xuất hiện một phe bi quan về lần thứ ba Tiên Ma Chiến, vì vậy đã dốc toàn lực giới tu hành nhân gian chế tạo ra chí bảo "Càn Khôn Giới", hy vọng khi thảm họa xảy ra có thể trốn vào tiểu thiên thế giới do nó mở ra để tránh tai họa, giữ lại mầm sống cho nhân gian.
还不能离开，因为\n%s	Chưa thể rời đi, vì<br>%s
乱界夹缝-空之界	Khe nứt loạn giới - Giới Không
因天道崩碎而衰亡的小千世界碎片，五行之力皆已死寂，仅凭一方造化灵池勉强维系。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，五行之力皆对其无效。	Do mảnh vỡ của tiểu thiên thế giới suy tàn vì thiên đạo sụp đổ, lực ngũ hành đều đã chết lặng, chỉ dựa vào một hồ linh tạo hóa miễn cưỡng duy trì.<br>Thế giới này tràn đầy oán nghiệt của vạn vật tử vong khi trời đất tan vỡ, chúng sinh ra từ loạn giới, lực ngũ hành đều không hiệu quả đối với chúng.
沉默的守誓人	Người giữ lời thề im lặng
口乃心之门户,口闭心沉。\n此处一静,万物皆景。\n此口一闭,万籁皆胜。\n此心一沉,万象可爱。	Miệng là cửa của tâm, miệng đóng tâm lắng.<br>Nơi này yên tĩnh, vạn vật đều là cảnh.<br>Miệng này khép lại, vạn âm đều thắng.<br>Tâm này lắng xuống, vạn tượng đều đáng yêu.
未知	Không rõ
磁龟	Quy từ tính từ
“让战争停止吧！”。人们这样哀求着。\n“销毁这些杀人的兵器吧！”。人民这样祈祷着。\n大地回应了这呼唤，祂自天坑中爬出。\n在那瞬间，刀兵禁止。	“Hãy để chiến tranh chấm dứt!”. Con người đã cầu xin như vậy.<br>“Hủy bỏ những vũ khí giết người này đi!”. Nhân dân đã cầu nguyện như thế.<br>Đất mẹ đã đáp lại lời kêu gọi đó, Ngài bò ra khỏi vực sâu.<br>Trong khoảnh khắc đó, binh khí bị cấm đoán.
%s成功将北斗星光吸入其中	%s đã thành công hút ánh sao Bắc Đẩu vào trong
末法的代言人	Người phát ngôn của thời kỳ Mạt Pháp
修行真的可以获得永恒么？\n那这片天地，又为何衰败至此？\n谎言！都是谎言！\n该死的仙神，该死的修行！！	Tu luyện thực sự có thể đạt được vĩnh hằng sao?<br>Vậy tại sao trời đất này lại suy tàn đến mức này?<br>Dối trá! Tất cả đều là dối trá!<br>Đáng chết tiên thần, đáng chết tu luyện!!
执念终结	Chấp Niệm Kết Thúc
门派阵法试炼，年少的修行者遭受同门排挤，被驱赶下山。\n百年之后，“魔傀”横空出世，以一人成阵的秘法横扫天下。	Thử thách trận pháp môn phái, người tu luyện trẻ tuổi bị đồng môn chèn ép, bị đuổi xuống núi.<br>Trăm năm sau, “Ma Khôi” xuất hiện, dùng bí pháp lấy một người làm trận quét sạch thiên hạ.
我即为阵	Ta chính là trận
确定要离开此地吗？	Xác nhận muốn rời khỏi nơi này?
认输	Đầu Hàng
易碎的生命	Sự sống dễ vỡ
生命真的很脆弱，如同精致的瓷器。\n在真正的力量面前，易碎而惹人怜爱。\n我爱瓷器，正如我爱这生命！	Sự sống thật sự rất dễ vỡ, như đồ sứ tinh xảo.<br>Trước sức mạnh thực sự, dễ vỡ mà khiến người ta thương xót.<br>Ta yêu đồ sứ, cũng như ta yêu sự sống này!
[NAME]以仙法摄走两军首领，一番劝戒，迫使他们停止了战争，消弭了这场祸事。此举手段温和，虽无人知晓，但却顺应天道，[NAME]获得了一些功德。	[NAME] sử dụng tiên pháp để bắt giữ hai vị thủ lĩnh của hai quân đội, khuyên bảo họ và buộc họ chấm dứt chiến tranh, tiêu trừ tai họa này. Hành động ôn hòa này, dù không ai hay biết, nhưng lại thuận theo thiên đạo, giúp [NAME] nhận được một số công đức.
第一个愿望	Điều ước đầu tiên
求道者历经千百劫难，终于求得永生不灭的肉体。\n然后，他满是虔诚的向天道许下了第一个愿望：\n“杀死我！”	Người cầu đạo trải qua hàng ngàn kiếp nạn, cuối cùng cầu được thân thể bất tử bất diệt.<br>Sau đó, hắn đầy thành kính hướng thiên đạo đưa ra điều ước đầu tiên:<br>“Giết ta!”
难过	Buồn
身似枯木不自在，心如野草遍地青。	Thân như cây khô không tự tại, tâm như cỏ dại khắp đất xanh.
想念	Nhớ nhung
枯荣	Khô vinh
曾经的我瘦小而懦弱。\n但是当我看到大海的那一刻，我明白了我的来处。\n来吧！潮汐之力，你等皆当归于潮汐!\n而潮汐，尽归我身！	Trước đây ta nhỏ bé và nhút nhát.<br>Nhưng khi ta nhìn thấy biển cả, ta hiểu được nguồn gốc của mình.<br>Hãy đến đây! Sức mạnh của thủy triều, các ngươi đều phải thuộc về thủy triều!<br>Còn thủy triều, tất cả thuộc về ta!
喂养宝物	Nuôi dưỡng bảo vật
海之子	Con của biển
他们居然还责备我们不领情，奇观建设继续进行。估计他们明天也不会来了。	Họ thậm chí còn trách chúng ta không biết ơn, việc xây dựng kỳ quan tiếp tục. Dự đoán họ cũng sẽ không quay lại vào ngày mai.
[NAME]心灵虔诚地拜了拜，感受到了祝福。	[NAME] thành tâm cầu nguyện, cảm nhận được phước lành.
一年一度的龙头香祭拜已经结束，请明年首日再来	Lễ cầu nguyện đầu rồng hàng năm đã kết thúc, vui lòng quay lại vào ngày đầu tiên năm sau.
烬灭的轻语	Lời thì thầm tàn tro
法宝反噬	Phản Phệ Pháp Bảo
咕咕~~咕咕~~\n神鸟快乐的鸣叫着———\n如珠玉落盘，轻语低吟。\n我知道，这是万物烬灭的声音……	Gù gù~~ gù gù~~<br>Thần điểu hạnh phúc hót vang ———<br>Như ngọc rơi trên bàn, thì thầm nhẹ nhàng.<br>Ta biết, đây là âm thanh của vạn vật hóa tro tàn…
残渣	Tàn dư
天地开辟以降，悄然湮灭者众，留名青史者寡。\n被尽数遗忘后的残留下些许顽固的执念，随意的聚合。\n化作茫然的无名者徘徊在历史的缝隙。\n化作残渣。	Từ khi trời đất khai mở, những kẻ lặng lẽ tiêu biến vô số, người lưu danh sử sách thì ít.<br>Sau khi bị lãng quên hoàn toàn, còn sót lại một chút chấp niệm cứng đầu, ngẫu nhiên tụ hợp.<br>Hóa thành những kẻ vô danh mơ hồ lang thang trong khe hở của lịch sử.<br>Hóa thành tàn dư.
哇哇，兔子，兔子吃人了……！！	Oa oa, thỏ, thỏ ăn người rồi…!!
说话气泡 fParam1为时间 sParam1为对象 sParam2为文本	Bong bóng thoại fParam1 là thời gian, sParam1 là đối tượng, sParam2 là văn bản
[NAME]靠近蕴灵树后感受其中玄妙，自身灵气运转更加流畅了。	[NAME] tiến gần cây dưỡng linh, cảm nhận sự huyền diệu trong đó, linh khí vận hành trong cơ thể trở nên trôi chảy hơn.
他们说了好半天话，最终给了我们一朵纸做的红花，奇观建设被耽误了。	Họ nói chuyện một hồi lâu, cuối cùng tặng chúng ta một bông hoa đỏ làm từ giấy, việc xây dựng kỳ quan bị trì hoãn.
[NAME]于战场之上降下雷霆震怒，将两军兵士镇压，强行制止了这场战争。[NAME]之神威因此深深刻印在亲见此幕的凡人脑海，他们口口相传，使[NAME]收获了不少信徒和信仰。	[NAME] giáng lôi đình xuống chiến trường, trấn áp binh sĩ hai quân, cưỡng ép chấm dứt cuộc chiến. Thần uy của [NAME] khắc sâu vào tâm trí những người chứng kiến, được truyền miệng, giúp [NAME] thu nhận được không ít tín đồ và niềm tin.
[NAME]降临于战场之上，欲以法力强行镇压两军兵士。然而[NAME]没想到的是，战场上凡人军士个体虽弱，但其气血沸腾浑然一体，以[NAME]的修为竟然无法镇压。此举使得[NAME]声名大损。	[NAME] giáng lâm chiến trường, muốn dùng pháp lực để cưỡng ép trấn áp binh sĩ hai quân. Tuy nhiên, [NAME] không ngờ rằng, dù binh sĩ phàm nhân trên chiến trường yếu đuối, nhưng khí huyết của họ lại hòa làm một, khiến [NAME] không thể trấn áp được. Hành động này khiến danh tiếng của [NAME] bị tổn hại nghiêm trọng.
{1}发动神力，直达灾民心怀。我方赈灾进度增加了{0}。	{1} khởi động thần lực, chạm đến lòng dân. Tiến độ cứu trợ của chúng ta tăng thêm {0}.
救命！救~~~~~~~~	Cứu mạng! Cứu~~~~~~~~
[NAME]阅读《太一秘典》，遍览了太一门百年前立派到如今的种种大事，在书册最后，还记载了一种奇特的名为“小乾坤界”的建筑的建造方法。[NAME]一方面感慨“小乾坤界”的精妙，一方面回想起师门种种，不禁百感交集。	[NAME] đọc 《Thái Nhất Mật Điển》, lướt qua các sự kiện lớn từ khi lập phái trăm năm trước đến nay của Thái Nhất Môn. Ở cuối sách còn ghi chép một phương pháp xây dựng kỳ lạ được gọi là "Tiểu Càn Khôn Giới". [NAME] vừa cảm thán sự tinh diệu của "Tiểu Càn Khôn Giới", vừa hồi tưởng lại những chuyện trong sư môn, không khỏi xúc động trăm bề.
